#    band25          band26          band27          band28         band29         band30         band31         band32
-0.440734       -0.440734       -0.104918       -0.104918       0.346209       0.346209       2.090825       2.090825
-0.469013       -0.469013       -0.148093       -0.148093       0.414565       0.414565       2.091398       2.091398
-0.555254       -0.555254       -0.220855       -0.220855       0.564330       0.564330       2.093050       2.093050
-0.686097       -0.686097       -0.281086       -0.281086       0.740115       0.740115       2.095576       2.095576
-0.835654       -0.835654       -0.333357       -0.333357       0.920496       0.920496       2.098609       2.098609
-0.985985       -0.985985       -0.385427       -0.385427       1.094646       1.094646       2.101611       2.101611
-1.127227       -1.127227       -0.440308       -0.440308       1.254190       1.254190       2.103902       2.103902
-1.253411       -1.253411       -0.498560       -0.498560       1.391227       1.391227       2.104813       2.104813
-1.360697       -1.360697       -0.559775       -0.559775       1.498657       1.498657       2.103967       2.103967
-1.446950       -1.446950       -0.623200       -0.623200       1.571772       1.571772       2.101496       2.101496
-1.511646       -1.511646       -0.687990       -0.687990       1.609914       1.609914       2.097756       2.097756
-1.555659       -1.555659       -0.753314       -0.753314       1.616739       1.616739       2.092552       2.092552
-1.580840       -1.580840       -0.818404       -0.818404       1.598624       1.598624       2.084723       2.084723
-1.589522       -1.589522       -0.882560       -0.882560       1.562371       1.562371       2.072591       2.072591
-1.584130       -1.584130       -0.945155       -0.945155       1.513691       1.513691       2.054632       2.054632
-1.566947       -1.566947       -1.005610       -1.005610       1.456801       1.456801       2.029843       2.029843
-1.540051       -1.540051       -1.063368       -1.063368       1.394621       1.394621       1.997860       1.997860
-1.505370       -1.505370       -1.117823       -1.117823       1.329112       1.329112       1.958964       1.958964
-1.464901       -1.464901       -1.168138       -1.168138       1.261581       1.261581       1.914040       1.914040
-1.421378       -1.421378       -1.212635       -1.212635       1.192911       1.192911       1.864475       1.864475
-1.380986       -1.380986       -1.246142       -1.246142       1.123748       1.123748       1.812009       1.812009
-1.361936       -1.361936       -1.251478       -1.251478       1.054658       1.054658       1.758561       1.758561
-1.375740       -1.375740       -1.218243       -1.218243       0.986276       0.986276       1.706051       1.706051
-1.401278       -1.401278       -1.168805       -1.168805       0.919434       0.919434       1.656257       1.656257
-1.427155       -1.427155       -1.116008       -1.116008       0.855278       0.855278       1.610701       1.610701
-1.450355       -1.450355       -1.064553       -1.064553       0.795335       0.795335       1.570604       1.570604
-1.469889       -1.469889       -1.017378       -1.017378       0.741526       0.741526       1.536874       1.536874
-1.485332       -1.485332       -0.977061       -0.977061       0.696083       0.696083       1.510142       1.510142
-1.496472       -1.496472       -0.946033       -0.946033       0.661358       0.661358       1.490817       1.490817
-1.503195       -1.503195       -0.926415       -0.926415       0.639494       0.639494       1.479140       1.479140
-1.574500       -1.574500       -0.881673       -0.881673       0.627890       0.627890       1.542061       1.542061
-1.738403       -1.738403       -0.801413       -0.801413       0.615869       0.615869       1.732495       1.732495
-1.940020       -1.940020       -0.713419       -0.713419       0.595785       0.595785       2.023385       2.023385
-2.146989       -2.146989       -0.624953       -0.624953       0.565926       0.565926       2.389986       2.389986
-2.340422       -2.340422       -0.533932       -0.533932       0.523560       0.523560       2.811677       2.811677
-2.508197       -2.508197       -0.437253       -0.437253       0.465735       0.465735       3.272018       3.272018
-2.642540       -2.642540       -0.332710       -0.332710       0.390031       0.390031       3.751967       3.751967
-2.739077       -2.739077       -0.219262       -0.219262       0.295392       0.295392       3.788027       3.788027
-2.796280       -2.796280       -0.097867       -0.097867       0.183663       0.183663       3.731707       3.731707
-2.814892       -2.814892        0.000000        0.000000       0.088383       0.088383       3.713243       3.713243
-2.797254       -2.797254       -0.108739       -0.108739       0.195650       0.195650       3.730299       3.730299
-2.746618       -2.746618       -0.261699       -0.261699       0.346518       0.346518       3.776625       3.776625
-2.666604       -2.666604       -0.422454       -0.422454       0.507851       0.507851       3.837379       3.837379
-2.560860       -2.560860       -0.585215       -0.585215       0.676573       0.676573       3.857186       3.857186
-2.432897       -2.432897       -0.745830       -0.745830       0.850422       0.850422       3.735168       3.735168
-2.286088       -2.286088       -0.900712       -0.900712       1.026784       1.026784       3.539557       3.539557
-2.123769       -2.123769       -1.046528       -1.046528       1.202416       1.202416       3.333861       3.333861
-1.949504       -1.949504       -1.179804       -1.179804       1.373306       1.373306       3.131495       3.131495
-1.767964       -1.767964       -1.295896       -1.295896       1.534614       1.534614       2.935212       2.935212
-1.591568       -1.591568       -1.382095       -1.382095       1.680739       1.680739       2.744877       2.744877
-1.517233       -1.517233       -1.340473       -1.340473       1.805450       1.805450       2.559150       2.559150
-1.545654       -1.545654       -1.167996       -1.167996       1.901299       1.901299       2.376968       2.376968
-1.550128       -1.550128       -0.987032       -0.987032       1.951679       1.951679       2.206396       2.206396
-1.507172       -1.507172       -0.814733       -0.814733       1.884073       1.884073       2.112514       2.112514
-1.404206       -1.404206       -0.657617       -0.657617       1.683713       1.683713       2.105281       2.105281
-1.236214       -1.236214       -0.520260       -0.520260       1.429042       1.429042       2.105927       2.105927
-1.011023       -1.011023       -0.404919       -0.404919       1.138511       1.138511       2.102415       2.102415
-0.753665       -0.753665       -0.307514       -0.307514       0.825476       0.825476       2.096978       2.096978
-0.526728       -0.526728       -0.202243       -0.202243       0.520273       0.520273       2.092511       2.092511
-0.440734       -0.440734       -0.104918       -0.104918       0.346209       0.346209       2.090825       2.090825
