#    band25          band26          band27          band28         band29         band30         band31         band32
-0.590539       -0.590504       -0.203979       -0.203868       0.679484       0.679437       2.437972       2.438026
-0.610501       -0.610529       -0.233265       -0.233267       0.726267       0.726254       2.438236       2.438238
-0.675299       -0.675343       -0.308609       -0.308638       0.858067       0.858052       2.439002       2.438986
-0.788052       -0.787993       -0.384142       -0.384189       1.031295       1.031293       2.439909       2.439891
-0.930716       -0.930724       -0.448505       -0.448516       1.216883       1.216883       2.440571       2.440573
-1.082380       -1.082207       -0.508754       -0.508768       1.400079       1.400103       2.440743       2.440747
-1.229213       -1.229269       -0.570094       -0.570077       1.571519       1.571489       2.439453       2.439474
-1.362805       -1.362782       -0.633838       -0.633805       1.723128       1.723087       2.435980       2.435979
-1.478290       -1.478267       -0.699917       -0.699958       1.846940       1.846966       2.430693       2.430680
-1.571670       -1.571698       -0.768070       -0.768113       1.937599       1.937588       2.424205       2.424188
-1.642397       -1.642415       -0.838054       -0.838053       1.991286       1.991305       2.417087       2.417146
-1.690869       -1.691100       -0.908053       -0.908047       2.009576       2.009595       2.410923       2.410930
-1.719016       -1.718742       -0.978108       -0.978066       1.997905       1.997889       2.404324       2.404285
-1.729059       -1.729095       -1.047183       -1.047159       1.963470       1.963476       2.395039       2.395081
-1.723939       -1.724110       -1.114748       -1.114801       1.913363       1.913369       2.382194       2.382194
-1.706533       -1.706630       -1.179930       -1.179932       1.851904       1.851940       2.364814       2.364808
-1.678424       -1.678491       -1.242179       -1.242163       1.782736       1.782701       2.342258       2.342216
-1.642706       -1.642985       -1.300649       -1.300581       1.708302       1.708304       2.314986       2.314975
-1.601419       -1.601392       -1.353895       -1.353902       1.630018       1.630006       2.283657       2.283709
-1.558628       -1.558829       -1.399228       -1.399234       1.548996       1.548955       2.249644       2.249640
-1.526383       -1.526250       -1.425434       -1.425459       1.466013       1.466010       2.214181       2.214219
-1.535886       -1.535783       -1.402983       -1.402898       1.382363       1.382338       2.178621       2.178633
-1.572455       -1.572405       -1.347480       -1.347443       1.298937       1.298946       2.144075       2.144052
-1.606453       -1.606323       -1.289702       -1.289757       1.217409       1.217415       2.111389       2.111379
-1.636790       -1.636638       -1.232561       -1.232500       1.139509       1.139514       2.081778       2.081785
-1.662950       -1.662826       -1.177576       -1.177621       1.067053       1.067066       2.055576       2.055593
-1.684434       -1.684289       -1.127781       -1.127745       1.002442       1.002551       2.033547       2.033542
-1.701373       -1.701300       -1.085162       -1.085177       0.948608       0.948644       2.016128       2.016123
-1.713817       -1.713846       -1.052655       -1.052723       0.907682       0.907750       2.003287       2.003283
-1.721288       -1.721336       -1.031908       -1.031927       0.881999       0.882012       1.995593       1.995580
-1.784252       -1.784179       -0.992411       -0.992359       0.868126       0.868106       2.057517       2.057475
-1.936551       -1.936556       -0.916631       -0.916619       0.852428       0.852402       2.242776       2.242726
-2.131102       -2.130961       -0.826435       -0.826415       0.825847       0.825819       2.528040       2.527983
-2.335349       -2.335366       -0.731193       -0.731166       0.786779       0.786725       2.889523       2.889469
-2.529452       -2.529451       -0.630513       -0.630465       0.732641       0.732602       3.305999       3.305943
-2.699498       -2.699527       -0.521925       -0.521896       0.660331       0.660287       3.758730       3.758659
-2.836429       -2.836387       -0.402740       -0.402701       0.566962       0.566948       4.236315       4.236306
-2.935887       -2.935916       -0.271152       -0.271129       0.451055       0.451008       4.311878       4.311929
-2.994854       -2.994865       -0.124902       -0.124865       0.311710       0.311691       4.256873       4.256893
-3.013998       -3.014011        0.000066        0.000000       0.187494       0.187494       4.239245       4.239243
-2.996029       -2.996110       -0.135909       -0.135895       0.324013       0.324018       4.255407       4.255408
-2.943670       -2.943557       -0.313832       -0.313800       0.502889       0.502897       4.299145       4.299137
-2.861602       -2.861471       -0.492908       -0.492774       0.685416       0.685391       4.352534       4.352513
-2.752371       -2.752268       -0.669690       -0.669671       0.870875       0.870869       4.340281       4.340273
-2.621047       -2.620888       -0.841844       -0.841819       1.058504       1.058466       4.174623       4.174604
-2.469039       -2.468993       -1.006358       -1.006345       1.246074       1.246093       3.965990       3.966070
-2.302500       -2.302430       -1.160442       -1.160444       1.431309       1.431263       3.755102       3.755182
-2.123396       -2.123411       -1.300577       -1.300566       1.610576       1.610574       3.548556       3.548616
-1.936812       -1.936821       -1.422594       -1.422567       1.780128       1.780073       3.347253       3.347301
-1.754536       -1.754580       -1.514995       -1.515021       1.935385       1.935368       3.150516       3.150579
-1.661131       -1.661159       -1.491077       -1.491115       2.070708       2.070669       2.956268       2.956266
-1.685438       -1.685359       -1.319464       -1.319414       2.180381       2.180383       2.762784       2.762764
-1.687225       -1.687233       -1.134649       -1.134550       2.252226       2.252205       2.571463       2.571432
-1.638707       -1.638635       -0.958042       -0.957943       2.221305       2.221343       2.439541       2.439534
-1.525596       -1.525651       -0.795711       -0.795594       2.019974       2.020030       2.428766       2.428797
-1.344352       -1.344287       -0.652559       -0.652516       1.750252       1.750274       2.437140       2.437148
-1.107665       -1.107843       -0.528939       -0.528835       1.443444       1.443428       2.440713       2.440752
-0.850842       -0.850927       -0.416745       -0.416633       1.117944       1.117877       2.440354       2.440395
-0.652799       -0.653086       -0.287076       -0.287028       0.816914       0.816841       2.438685       2.438738
-0.590539       -0.590504       -0.203979       -0.203868       0.679484       0.679437       2.437972       2.438026
